1.1.1	atha vidhyavyapadeśe sarvakratvadhikāraḥ
8.11.8	trivṛtpañcadaśo 'bhyārohaṇīyasya sthāne syāt
8.11.9	vājapeyo 'bhiṣecanīyasya
8.11.10	pañcadaśatrivṛt keśavapanīyasya
8.11.11	vyuṣṭikṣatradhṛtyor jyotiṣṭomau
8.11.12	bṛhaspatisavenaiva purastād uparistāc ca pariyajeteti dhānañjapyaḥ
8.11.13	māsamātre purastāt jyotiṣṭomena tathopariṣṭād iti śāṇḍilyāyanaḥ
8.11.14	pratyavarohaṇīyenaivāntato yajeta netareṣāṃ kenacid iti gautamaḥ
8.11.15	sadasyasaptadaśān pṛthag ṛtvijo vṛṇīta
8.11.16	tasya dakṣiṇā dāsīniṣkarathahastiyānagavāṃ pṛṣṭhyānāṃ cāśvānāṃ saptadaśaikaikasya jātasya
8.11.17	sahasrāṇi gavāṃ śatāni vā
8.11.18	saptadaśa vaiva gāvas taṃ kuruvājapeya ity ācakṣate
8.11.19	tāḥ samam ṛtvigbhyo vibhajet
8.11.20	śreṣṭhato vā madhyataḥ kāribhyaḥ
8.11.21	yena rathenājiṃ dhāvet tam udgātre dadyād āsandīṃ ca sāstaraṇāṃ yām abhiṣikta ārochet
8.11.22	bastacarma sarukmaṃ hotre yasminn āsīno 'bhiṣicyeta
8.11.23	vasanamayī rasanā adhvaryave
8.11.24	hiraṇyasthālaṃ madhunaḥ pūrṇaṃ brahmaṇe
8.11.25	kaṃsasthāle vā hiraṇyatuṣān madhumiśrān
8.12.1	tasya vratāni kṣatravṛttiṃ vartayet
8.12.2	pratyavarohaṇābhivādane jaghanyavrajyāṃ samānaśayyatām iti varjayed avājapeyayājibhiḥ
8.12.3	yathāvayasaṃ vājapeyayājibhiḥ
8.12.4	pratyavarohaṇīyeneṣṭvā naitāni vratāni cared iti lāmakāyanaḥ
8.12.5	tasya vikalpāḥ
8.12.6	prākṛta eva vājāpeya ekiprabhṛtīn dvyuttarān saptadaśatrayastriṃśāntān stomān kalpayet samayūronīkarṣīty ācakṣate
8.12.7	tasyopāsmai gāyateti bahiṣpavamānam
8.12.8	brahmasāmaiva pratyeteneṣṭvā svargaṃ lokamākrameteti dhānañjapyaḥ
8.12.9	jyotiṣṭomo 'tirātro 'ṣoḍaśiko 'natirātro vā ṣoḍaśimān
8.12.10	tasya bṛhatsaptadaśaṃ stotraṃ syāt pañcadaśastomaṃ svāsu
8.12.11	agniṣṭomo vā
8.12.12	tasyābhīvartī brahmasāmānuṣṭubhi yajñāyajñīyam anukalpayed bṛhadagniṣṭomasāma
8.12.13	pañcaviṃśaṃ pṛṣṭhānāṃ brahmasāmācchāvākasāma vā caturviṃśam itarat
8.12.14	etasya vaiva catustriṃśāni pṛṣṭhānyagniṣṭomasāma ca saptadaśamitarat
8.12.15	naiteṣāṃ kaścana vājapeya iti gautamo yajamānaś caibhir na vājapeyadakṣiṇā dadyād iti dadyād iti
9.1.1	rājā rājasūyena yajeta
9.1.2	phālgunīpakṣasya prathamāyāṃ dīkṣetābhyārohaṇīyāya jyotiṣṭomāya
9.1.3	tasyaikā dīkṣā dvādaśaśataṃ dakṣiṇāḥ
9.1.4	saṃvatsarād ūrdhvam abhiṣecanīyena yajeta tasminn eva kāle
9.1.5	tasya tathaiva dīkṣā
9.1.6	dve iti gautamaḥ
9.1.7	tathā saty abhyārohaṇaṇīyasyāpi dve
9.1.8	ekābhyārohaṇīyasya tisro'bhiṣecanīyasyeti śāṇḍilyas trayodaśyāṃ tv aparapakṣasya dīkṣeta
9.1.9	tasya dakṣiṇā dvātriśataṃ madhyataḥ kāribhyaḥ sahasrāṇi dadyād ekaikasmai
9.1.10	ṣoḍaśa prastotṛmaitrāvaruṇapratiprasthātṛbrāhmaṇācchaṃsibhyaḥ
9.1.11	tā ardhinyaḥ
9.1.12	aṣṭau pratihartṛpotṛneṣṭrāchāvākebhyas tās tṛtīyinyaḥ
9.1.13	catvāri subrahmaṇyāgnīdhronnetṛgrāvastudbhyas tāḥ pādinyaḥ
9.1.14	abalān asya jñātīn savittān āvaheyuḥ
9.1.15	tāñjinīyād dakṣiṇāvelāyām
9.1.16	iṣūṃś caibhyo 'syet
9.1.17	tāṃs ta eva pratyāhareyur vijayasva rājann iti
9.1.18	teṣāṃ vittasya tṛtīyam ṛtvigbhyo dadyāt
9.1.19	daśapeye 'nuprasṛptibhyas tṛtīyam
9.1.20	śeṣaṃ tebhya eva pratyutsṛjet
9.1.21	grāmān ebhyo 'pi dadyāt
9.1.22	rājanyās te syus tata ūrdhvam anabhiṣekyāḥ
9.1.23	teneṣṭvā na sākṣād avabhṛtham abhyaveyāt kṛṣṇaviṣāṇaṃ kṛṣṇājinapādaṃ vāvadadhyāt
9.1.24	vārāhībhyām ita upānadbhyāṃ vrajet kārṣṇībhyāṃ pratyāvrajet
9.2.1	tad dīkṣita eva daśāhe tato daśapeyena yajeta
9.2.2	tasya brāhmaṇaṃ daśa daśa camasam abhiyantīti
9.2.3	subrahmaṇyacaturthā udgātṛcamasaṃ bhakṣayeyuḥ ṣaḍvānye
9.2.4	evam itareṣām ekaikaṃ yāvatā daśa pūryeran yajamānaṃ camasād anyān
9.2.5	te daśamātṝr daśapitṝn ity anvākhyāya prasarpeyur ā daśamāt puruṣād iti hy āha
9.2.6	yatrābrāhmaṇīm adhigaccheyur brāhmaṇyaivābhyāsaṃ daśasaṃ pūrayeyuḥ
9.2.7	asmarantaś ca yataḥ smareyuḥ
9.2.8	ṛtvigbhiḥ saha dhiṣṇān upatiṣṭheran
9.2.9	srag udgātur iti srapsyate 'smai bahiṣpavamānaṃ hiraṇyasrajaṃ tripuṣkarāṃ pratimuñcet
9.2.10	āstāva upaviṣṭāya yajamāna audakīṃ dvādaśapuṣkarāṃ yāsya vā syāt
9.2.11	stutvā bahiṣpavamānena yajamānāyaivaudakīṃ prayutsṛjet
9.2.12	itarayā pratimuktayā sarvamahaḥ kṛtvā tāṃ sa eka haret
9.2.13	prākāśāv adhvaryvor iti sauvarṇo 'dhvaryvor dakṣiṇataḥ syād rājataḥ pratiprasthātuḥ savyataḥ
9.2.14	vāsaḥ potur iti kārpāsaṃ syāt
9.2.15	barāsī neṣṭuriti kṣaumī syāt
9.2.16	brāhmaṇenaivetarā vijñātāḥ
9.2.17	tasyāvabhṛthād udetya saṃvatsaraṃ devavratāni caret
9.2.18	unmṛnnītā nāplavamānaḥ
9.2.19	dhāveta dantān
9.2.20	nikṛntayeta nakhān
9.2.21	śmaśrūṇi vāpayeta na keśān
9.2.22	vaiyāghre carmaṇy uttaralomny agnyagāre saṃviśet
9.2.23	ahar ahaḥ samidha ādadhyāt
9.2.24	nānugrāmaṃ praviśet
9.2.25	nāsyābrāhmaṇā rāṣṭre vāpayeran
9.2.26	aśvānāṃ ca na keśāṃś chindyuḥ
9.2.27	na tejanī dantān
9.2.28	na prasravaṇāni
9.2.29	brāhmaṇās tu yathābhipretaṃ ye ca tān anu syuḥ
9.3.1	saṃvatsarād ūrdhvaṃ keśavapanīyāya dīkṣeta yasmin kāle 'bhiṣecanīyena yajeta
9.3.2	tasya paurṇamāsyām atirātraḥ
9.3.3	daśapeyeneṣṭvā ya uttaraḥ pūrvapakṣas tasminn eva keśavapanīyena yajeteti dhānañjapyaḥ paurṇamāsyāc caivātirātraḥ
9.3.4	tasya sahasraṃ dakṣiṇāḥ
9.3.5	tasyodavasānīyayeṣṭvāniṣṭvā paurṇamāsena vyuṣṭidvirātrāya dīkṣetāmāvāsyāyāṃ pūrvam ahar iti cec cikīrṣet
9.3.6	paurṇamāsyām iti cet pūrvapakṣa eva dīkṣeta
9.3.7	ubhayor vicārayor yajanīya uttaram ahaḥ
9.3.8	vyaṣṭakāyām uttaram iti tāmisraprathamā tisrovyaṣṭakā ity ācakṣate
9.3.9	ubhe vā pūrvapakṣe sthānāṃ ye eva samānapakṣe puṇyāhanī syātāṃ tayor eva kāryam iti hy āheti
9.3.10	pūrveṇa dakṣiṇā vyākhyātāḥ
9.3.11	tasminneva pūrvapakṣe kṣatrasya dhṛtinā yajetāvakāśaś cet syāt
9.3.12	avidyamāne ya uttaraḥ pūrvapakṣas tasmin
9.3.13	so 'bhyārohaṇīyena vyākhyātaḥ
9.3.14	tayoḥ pṛthak sahasraṃ dakṣiṇā iti gautamadhānañjapyau dve ca sahasre keśavapanīye tathā vyuṣṭau
9.3.15	catvāry abhiṣecanīye gautamaḥ
9.3.16	pañca dhānañjapyo nityaṃ tv abalānāṃ jñātīnāṃ vittam
9.4.1	rājyekaviṃśativargān yathotsāhaṃ dadyād aindreṇa vṛṣabheṇa purastād upariṣṭāc ca pariyajeta
9.4.2	virāji daśavargān yathotsācaṃ dadyād āgneyena tu paśunā purastād upariṣṭācca pariyajeta
9.4.3	vaiśvadevenaupaśade
9.4.4	tasya caturviṃśaśataṃ dakṣiṇāḥ
9.4.5	pūrve vayasy uccāvacān yājayitvopanīya vā tebhyaḥ samāvartsyan punaḥ stomena yajeta
9.4.6	tasya dvādaśamithunā dakṣiṇā iti dhānañjapyaḥ
9.4.7	punaḥ saṃskṛto rathaḥ punar utsyūtaṃ śāmūlaṃ punar dhenuḥ punar vatsa iti śāṇḍilya eteṣāṃ yathotsāhaṃ dadyāt
9.4.8	catuṣṭomayor ekakhurāṇāṃ pūrvasmin yathotsāhaṃ dadyād ubhayeṣām uttarasmin
9.4.9	udbhidvalabhidbhyām aviprayogeṇa yajeta
9.4.10	tāv ubhau saptāpavargau syātām vasante ca
9.4.11	ardhamāsa enāv antareṇa syān māso vā saṃvatsaro vā
9.4.12	tayoḥ pṛthak caturviṃśativargān yathotsāhaṃ dadyāt
9.4.13	pṛthak caturyujāv aśvarathāv apacityoḥ
9.4.14	ubhayataḥ kāṃsyakavacau 
9.4.15	śatārhāḥ syur aśvāḥ śatakriyo vā
9.4.16	rājaitābhyāṃ yajeteti dhānañjapyaḥ
9.4.17	yaḥ kaścāpacitikāma iti śāṇḍilyaḥ
9.4.18	aikāhikena vratenokta upāyo'gneḥ stomayoḥ
9.4.19	tayoḥ pṛthakcatvāri dhānyācitāni dakṣiṇāḥ ṣaḍgavāni pūrvasya caturgavāny uttarasya
9.4.20	ṛṣabhāṇāṃ dvādaśaśataṃ dakṣiṇāḥ sahasraṃ varṣabhe
9.4.21	avidyamāneṣu katipayā apy ṛṣabhāḥ syuḥ sāṇḍā itare vatsatarāḥ
9.4.22	vaiśyaṃ yaṃ viśaḥ svarājānaḥ puraskurvīran sa gosavena yajeta
9.4.23	sa bṛhasyatisavena vyākhyātaḥ
9.4.24	ayutaṃ tvasya dakṣiṇāḥ
9.4.25	sakhāyo bhrātaro vā ye sampādayeyuste marutstomena yajeran
9.4.26	tasya dakṣiṇā yathārūpāḥ pañca śāradīye paśava ālabhyante teṣāṃ yathotsāhaṃ dadyuḥ
9.4.27	yeṣāṃ keṣāṃceti dhānañjapyaḥ
9.4.28	kuladakṣiṇa indrāgnyoḥ kulāyaḥ
9.4.29	sahasram indrastome
9.4.30	rājapurohitau yajeyātām indrāgnyoḥ stomena
9.4.31	gāyatrīsampannā dakṣiṇā brāhmaṇo dadyāt jagatīsampannā rājā
9.4.32	kāmaṃ tu pṛthag yajeyātāṃ tayor evam eva dakṣiṇāḥ
9.4.33	vighanābhyāṃ paśukāmo yajetābhicaran vā
9.4.34	somasāmātharvaṇaṃ vetyātharvaṇaṃ paśukāmayajñe kuryāt somasāmābhicarataḥ
9.4.35	bṛhatīsampannāḥ dakṣiṇāḥ paśukāmasya
9.4.36	iṣuṇābhicarato vyākhyātau
9.4.37	sandaṃśavajrau ca
9.4.38	rājānaṃ sandaṃśenābhicarej janapadaṃ vajreṇa
9.4.39	rājānam abhicaran vyatyāsam enau prayuñjīta
9.4.40	jyotiṣṭomenaivāntato yajeta śāntyarthaḥ śāntyarthaḥ
9.5.1	paurṇamāsīdīkṣāmāsāpavargī ahīnāḥ
9.5.2	teṣāṃ dvādaśopasadaḥ
9.5.3	ṣaḍ iti dhānañjapyaḥ
9.5.4	ekatriṃśe'hani yajñapucchaṃ triṃśe vā
9.5.5	sutyābhyuccaye dīkṣā prati hrāsaḥ
9.5.6	sarve 'tirātrā ahīnā dvirātraprabhṛtayaś cāhargaṇā aśvamedhād anye sahaśradakṣiṇāḥ prāk catūrātrebhyaḥ
9.5.7	tatprabhṛtīnāṃ bhūyasyaḥ sutyābhyuccayena
9.5.8	tāḥ samaṃ sarveṣvahaḥsu vibhājaṃ dadyāt
9.5.9	samānupapattāv uttame 'hani bhūyiṣṭhāḥ
9.5.10	ayutam ekādaśarātre dadyāt
9.5.11	nava nava pūrveṣv ahaḥsu śatāni sahasram uttame
9.5.12	aptoryāmṇi kṛtā garbhāḥ kalpena
9.5.13	rathantaraṃ vā pṛṣṭham
9.5.14	tasya sthāne bārhataṃ vājajit
9.5.15	bṛhadvāravantīye uttare pṛṣṭhe
9.5.16	kāleyasyarkṣu vāravantīyam
9.5.17	tasya sthāne pūrvam
9.5.18	samaṃ tasya ca kāleyam
9.5.19	pārthasyauśanam
9.5.20	ta eva garbhāḥ pṛṣṭheṣu
9.5.21	vaiśvajitā nyājyānyājyeṣu garbhān kuryād iti dhānañjapyaḥ ṣāṣṭhikāny ukthāny uktheṣu
9.5.22	yathaivārṣeyakalpena kṛtam iti śaucivṛkṣiḥ
9.5.23	jyotiṣṭome vātirātre 'tiriktastotrāṇy ādadhyāt ṣoḍaśimatīti śāṇḍilyaḥ
9.5.24	ta eva garbhāḥ pṛṣṭheṣu yajñāyajñīyaṃ ca bṛhadgarbham
9.6.1	trirātrāṇāṃ prathame 'hani vaṣaṭkāribhyo dadyāt grāvastute ca
9.6.2	chandogebhya uttame
9.6.3	madhyama itarebhyaḥ
9.6.4	śatam ekaikasmai madhyataḥ kāribhyo dadyāt
9.6.5	pañcāśatam ardhinībhyaḥ
9.6.6	tṛtīyinīnāṃ viṃśatiṃ potre tathā neṣṭre
9.6.7	triṃśatam itarābhyām āgnīdhrāya ca pādinīnām
9.6.8	navonnetre daśetarābhyām
9.6.9	anvahaṃ tūnnetre samaṃ dadyāt
9.6.10	daśa sadasyāya prathame 'hani saptatiṃ dvitīye viṃśatiṃ tṛtīye
9.6.11	daśa daśārṣeyapravādibhyo ya uktā brāhmaṇena
9.6.12	anūcānā pūrvayor ahnor ananūcāna uttame
9.6.13	daśaśataṃ śiṣyante tā ṛtvigabhyo dadyāt prasarpakebhyo vā
9.6.14	sahasratamīṃ madhyame 'hani brahmaṇa āgnīdhrāya ca
9.6.15	śuklaṃ kṛṣṇaṃ rohitam ity asyā rūpāṇi
9.6.16	daśakalā brahmaṇe pañcāgnīdhrāyaikā mamety apākurvīta
9.6.17	tām anyayā gavā niṣkrīya dakṣiṇe 'syāḥ karṇe gonāmāni japitvā goṣv api sṛjeta
9.6.18	jyotiṣṭomavidhir anantarāmnānāt dvādaśāhabhūtasya syāt
9.6.19	talliṅgadarśanāc ca yathā pṛṣṭhānām
9.6.20	punarāmnānāccāhīnaikāhādau
9.6.21	nānā prakaraṇavattu coditānāmānantaryāt sambandho na syād yathopahavyarttapeyayoḥ
9.6.22	liṅgagrahaṇaṃ cānyārthena yathā ṣaṣṭhe 'hani śakvarīṇām 
9.6.23	śeṣavidheḥ punarāmnānam
9.7.1	tasmin svatantre 'hīnarātriḥ syād aviśeṣeṇa hyahīneṣu codyate
9.7.2	prākṛtī tv eva syād adhikṛtyāmnānāt
9.7.3	aviśeṣacodanā śeṣe yathā caturavattam
9.7.4	etenoktam oṃkārasya pratyāmnānaṃ vācā rathantare
9.7.5	samuccayas tu nānārthatvāt prastāvaśāntyarthā hi vāgudgīthāder oṃkāraḥ
9.7.6	vāk tu pūrvam evaṃ yathārthapratyāsattiḥ
9.7.7	uttarā vā jaghanyavidher ācārāc ca
9.7.8	ekastomeṣu vaidatrirātre ca svastomā rātriḥ syāt tathā sandhir ubhayath hy avikāreṇa vartate
9.7.9	parāktvaṃ ca trivṛto 'nyatra sandher nopapadyate trivṛtātirātreṇeti ca viśeṣacodanā
9.7.10	vṛttyapekṣā cādeśena vidyate yathā ṣoḍaśaṃ prathamaṃ rātriṣāmeti
9.7.11	arthoktiḥ sandhāv āvāpaḥ
9.7.12	abhyāso vā
9.7.13	brāhmaṇam ājyadohānām agnim upanidhāya stuvata iti hotur dhiṣṇye 'gniṃ dhārayeyuḥ prathame 'hani yaṃ madhyandina ānayeyuḥ
9.7.14	prātaḥsavana uttarayor ahnoḥ
9.7.15	stotravelāyām enaṃ prajvalayeyuḥ
9.7.16	tam anumantrayetāgnir asi vaiśvānaro namas te 'stu mā mā hiṃsīr iti
9.8.1	sahasrapoṣakāmaḥ śabalīhomaṃ kurvīta
9.8.2	nātrirātrayājīti śāṇḍilyas trirātro vā etāṃ pradāpayatīti hy āha
9.8.3	yaḥ kaś ca sahasrapoṣakāma iti dhānañjapyaḥ
9.8.4	vasante prathamāyāṃ pūrvapakṣasya keśaśmaśrūṇi vāpayitvāhataṃ vasanaṃ paridhāyānantarhite sthaṇḍile dvādaśarātrīr adhaḥ śayīta taptaṃ kṣīraṃ piban
9.8.5	nityābhyāhito 'syāgnir āvasathe syāt
9.8.6	nainam anyaḥ suhṛdaḥ praiṣakṛto 'nupraviśet
9.8.7	alpavyāhārī ca syāt
9.8.8	adūragāmī
9.8.9	dvādaśyā upavyuṣaṃ parisamuhyāgniṃ paristīryaudumbara idhmaḥ syāt sruk sruvā ca tathā camasas tasmāddadhimadhusapir iti sruveṇa sruci gṛhṇīyāc caturgṛhītam aṣṭagṛhītaṃ vā
9.8.10	tajjuhuyācchabaliḥ samudro 'sīti
9.8.11	svāhākāraṇottarām
9.8.12	sruci yaḥ śeṣaḥ syāt taṃ camasa ānīya prāśnīyāt
9.8.13	prakṣālya srukssruvau camasaṃ ca nidadhyāt
9.8.14	tatra vānuprahared iti śāṇḍilyāyanaḥ
9.8.15	prāṅ vodaṅ vā grāmān niṣkramya yatra grāmyasya paśor nāśṛṇuyāt tad araṇyaṃ paretya darbhastambam ālabhya śabali śabalīti triḥ paramakaṇṭhena krośet
9.8.16	yad anyacchuno gardabhād vā prativāśyeta samṛddhaṃ karmeti vidyāt
9.8.17	evam ātṛtīyaṃ saṃvatsarātyāsam aprativāśyamāne kurvīta
9.8.18	prathamataś cet tu śvā gardabho vā prativāśyeta na paśūnām āśāstīti vidyāt
9.8.19	ātṛtīyaṃ cāprativāśyamāne
9.8.20	śāntir vāmadevyaṃ śāntir vāmadevyam
9.9.1	rājāśvamedhena yajeta
9.9.2	tasyopāyo yathā mahāvrate gautamīyam
9.9.3	upasadas tv asyāhīnikyaḥ
9.9.4	dīkṣitvāśvam utsṛjet śvetaṃ kṛṣṇamaṇḍalam akṣṇo rūpaṃ yo javena sampannaḥ
9.9.5	tam anāvartayanto digbhyaḥ saṃvatsaraṃ rakṣitvā rājakraye badhnīyuḥ
9.9.6	grīṣma upakrameti dhānañjapyaḥ
9.9.7	vasanta iti śāṇḍilyaḥ
9.9.8	caitravaiśākhayor anyatarasya saptamyām aṣṭamyāṃ vā madhyataḥ kāriṇa ṛtvijo brahmaudanaṃ bhojayitvā tebhyaḥ pṛthak sahasrāṇi dadyāt
9.9.9	pauṣṇyām iṣṭau vitatāyāṃ saṃsthitāyāṃ vāśvam utsṛjet taṃ tayaivāvṛtā rakṣeyuḥ
9.9.10	tisra iṣṭayaḥ sāvitryo bhavanti tāsu saṃsthitāsu dakṣiṇata āhavanīyasya hiraṇmaye kūrce prāṅmukha āsīno yajamānaḥ saṃvatsaram ahar ahar hotuḥ pāriplavam ācakṣāṇasya śṛṇuyāt
9.9.11	hiraṇyakaśipuni brahmodgātā codaṅmukhau
9.9.12	śataṃ hotre dadyāt daśādhvaryave
9.9.13	sahasraṃ vā hotre śatam adhvaryave kiṃciccetarābhyām
9.9.14	tasya devavratāni yathā rājasūye
9.9.15	saṃvatsarād ūrdhvam aśvaṃ baddhvā dīkṣeta
9.9.16	tad ahar etāny ṛtvija āsanāni yathāsvaṃ hareran
9.9.17	tasya dvādaśa dīkṣā dvādaśopasadaḥ sarveṣām ahnāṃ bahir bahiṣpavamānaiḥ stuvīran
9.9.18	madhyame 'hany aśvasya vāladhim ālabhya bahiṣpavamānaṃ sarpeyuḥ
9.9.19	sarpatsu yajamāna udgātāraṃ brūyāt udgātar apa tvā vṛṇe śatena ca niṣkeṇa cāśvoma udgāsyatīti
9.9.20	aśvam āstāvam ākramayya vaḍavāṃ darśayeyuḥ
9.9.21	tāṃ yadābhikranded atha yajamāna udgātāraṃ brūyād udgātar upa tvā hvaye śatena caiva niṣkeṇa ca tvam eva ma udgāsyasīti
9.9.22	udañcam aśvam utkramayyāstāva upaviśyodgātāśvavratena stuyād abhivājī viśvarūpa ity etāsu
9.9.23	hiraṇyakaśipuny āsīno bahiṣpavamānena stutvā sa eva taddharet
9.10.1	yā patnīnāṃ priyatamā yajamānasya sā vāvātā rājaputrī
9.10.2	anapacitā parivṛktī
9.10.3	saṃjñapteṣu paśuṣu hotrābhimethite brahmā vāvātām abhimethed ūrdhvām enām ucchrayatād girau bhāraṃ harann ivāthāsyai madhyame jatu śīte vāte punarniveti nirdiśet
9.10.4	śatam asyā rājanyānāṃ duhitaro 'nucaryyaḥ syus tās taṃ pratyabhimetheyur ūrdhvam enam ucchrayatād girau bhāraṃ harann ivāthāsya madhyame jatu śīte punarniveneti nirdiśeyuḥ
9.10.5	udgātā parivṛktīm abhimethed yad asyā aṇuhodbhyā aṇusthūlam upātasan muṣkau yad asyā ejato gośaphe śakulā viveti nirdiśet
9.10.6	śatam asyāḥ sūtagrāmaṇīnāṃ duhitaro 'nucaryyaḥ syus tās taṃ pratyabhimetheyur yuṃ devāso lalāmaguṃ prasaṃhṛṣṭinam ājiṣur iti nirdiśeyuḥ sakthnā dediśyate nāryṛtasyākṣibhuvo yatheti
9.10.7	apa upaspṛśya vāmadevyaṃ gītvā tasyaccānujapeyuḥ
9.10.8	svāhākṛtibhiḥ śvarite pūrveṇa sada upaviśya brahmodyaṃ vadeyuḥ
9.10.9	hotrādhvaryuṇā cokte brahmā pṛcched udgātāraṃ pṛcchāmi tvā citayaṃ devasakha yad yat tvam atra manasānuvettha yeṣu viṣṇus triṣu padeṣv aṣṭa yeṣu viśvaṃ bhuvanam āviveśeti
9.10.10	taṃ prati brūyād api teṣu triṣu padeṣv asmin yeṣu viṣṇus triṣu padeṣv aṣṭa yeṣu viśvaṃ bhuvanam āviveśa sadyaḥ paryemi pṛthivīṃ dyām utemām ekenāṅgena divo asya pṛṣṭham iti
9.10.11	udgātā pṛcched brahmāṇaṃ kiṃ svid antaḥpuruṣa āviveśa kāny antaḥpuruṣe arpitāny etad brahmann upabalihāmahe tvā kiṃ svin nas tvaṃ prativocāsy atreti
9.10.12	taṃ prati brūyāt pañcasv antaḥpuruṣa āviveśa tāny antaḥ puruṣe arpitāny etat tān pratimanvāno asmin na māyayā bhavasy uttaro mad iti
9.10.13	sarve yajamānaṃ pṛccheyuḥ pṛccāmas tvā param antaṃ pṛthivyāḥ pṛcchāmo yatra bhuvanasya nābhiḥ pṛcchāmas tvā vṛṣṇo aśvasya retaḥ pṛcchāmo vācaḥ paramaṃ vyometi
9.10.14	tān prati brūyād iyaṃ vediḥ paro antaḥ pṛthivyā ayaṃ yajño bhuvanasya nābhir ayaṃ somo vṛṣṇo aśvasya reto brahmāyaṃ vācaḥ paramaṃ vyometi
9.10.15	tasya dakṣiṇāḥ sahasraṃ prathame 'hani dadyāt tathottame
9.10.16	madhyame 'hany ekajanapade yad abrāhmaṇānāṃ vittaṃ syāt tat dadyāt
9.10.17	vijitasya vā madhye yajeta
9.11.1	prācīṃ hotre diśaṃ dadyāt dakṣiṇāṃ brahmaṇe 'dhvaryave pratīcīm udīcīm udgātre yad anyakṣetrāc ca puruṣebhyaś cety ubhayor vicārayoḥ
9.11.2	yāvad vā brūyur neto bhūya icchāma iti
9.11.3	aṣṭācatvāriśataṃ vā madhyataḥ kāribhyaḥ sahasrāṇi dadyād ekaikasmai caturviśatim ardhinībhyo dvādaśatṛtīyinībhyaḥ ṣaṭpādinībhyaḥ
9.11.4	avarārdhyā etāḥ kāmaṃ tu bhūyasīr dadyāt
9.11.5	tasya vikalpāḥ
9.11.6	etāny eva pañcadaśastomāny ahāni kalpayet sa patantako 'śvamedhaḥ
9.11.7	māsam aśvaṃ cārayitvaitena yajeta
9.11.8	jyotiṣṭomo vai tasyātirātras tṛtīyam ahaḥ syāt tena māsam
9.11.9	gaur vā tena trīn
9.11.10	āyar vā tena ṣaṭ
9.11.11	prākṛtasya vaiteṣām ahnāṃ kiṃcit tṛtīyam ahaḥ syāt
9.11.12	viśvajidabhijidvratāptoryamāṇāṃ vātirātrāṇām eva
9.11.13	teṣāṃ stomacodanaiva syāt yathā catuṣṭomasarvastomayos trirātreṣu ca tantravilopo na vidyate
9.11.14	svatantrās tv eva syuḥ kṛtalakṣaṇā hi purastāc codyante pratyakṣavikārāt stomacodanā catuṣṭomasarvastomayoḥ
9.11.15	vacanāt tantravilopo yathā jāmikalpaḥ sarvasvāre
9.12.1	trayodaśyām aparapakṣasya dīkṣeta jāmadagnāya
9.12.2	tasya viṃśatir dīkṣā dvādaśopasadaḥ
9.12.3	tatropasatsu pṛthagghomān adhvaryur juhuyāt puroḍāśāṃs ta uktā brāhmaṇena
9.12.4	samānadevatau pūrvāhṇāparāhṇayoḥ
9.12.5	agneverhotram ity etatprabhṛtaya eṣā homāḥ
9.12.6	tasyāvabhṛthād udetya dvādaśāham iṣṭibhir yajeta
9.12.7	tāsveta eva pratilomāḥ puroḍāśāḥ
9.12.8	vasiṣṭhasya janitre bhavata iti saṃsarpasya caturthe 'hani bṛhatyanuṣṭubhoḥ pṛthag anupūrvam anukalpayec caturthaś hi janitrasthānam
9.12.9	tayorvikalpaḥ syād ārṣeyakalpena
9.12.10	pañcaśāradīye paśubandhair yajeta saptamyām aṣṭamyāṃ vāśvayujīpakṣeṣu
9.12.11	vatsatarīr evālabherann ukṣṇo visṛjeyuḥ
9.12.12	teṣāṃ yāvanto bhreṣam āpadyeraṃs tāvato 'nyān ayajuṣkṛtān api sṛjeyus tathārūpāraṃs tāvadarṣān
9.12.13	ṣaṣṭyāṃ śaradi kārttike māsi yajeta
9.12.14	tasya dvādaśopasadaḥ
9.12.15	tṛtīye ṣaḍrātre pañcamasyāhnaḥ pratyavarohīṇy ukthāni syurr ity ācāryo abhyāsaṃgyo hyatra yathā devānāṃ pañcarātre
9.12.16	rātrikāritas tatra pratyavaroha iti gautamas trayastriṃśāny eva syur iti
9.12.17	saptarātrāṇāṃ prathamasyātirātra ekaviṃśāny ukthāni syur jyotiṣṭomapradeśāt jyotiṣṭomapradeśāt
10.1.1	dīkṣākrayaprasavotthānāni sarvasatreṣu pūrvapakṣa upapādayeyuḥ
10.1.2	teṣām ekasyānupapattau krayo 'parapakṣaṃ syāt
10.1.3	prasavaś ca yadi dve
10.1.4	triṣūtthānam eva pūrvapakṣaṃ syāt
10.1.5	teṣāṃ dvādaśadīkṣās tathopasado 'nādeśe
10.1.6	sāṃvatsarikebhyaścordhvaṃ dīkṣāṇāṃ yathākāmī
10.1.7	prathame pañcadaśarātra ekānnaviṃśatir dīkṣā iti dhānañjapya ekāṣṭakā mahāvratam amāvāsyātirātra iti hyāheti
10.1.8	aṣṭādaśeti gautamaḥ paurṇamāsyatirātra iti hy āheti
10.1.9	jātikalpo vā
10.1.10	ṣoḍaśarātraprabhṛtīni triṃśadrātrāntāny aṣṭādaśadīkṣāṇyaikānnapañcāśadrātrāṇi ca
10.1.11	dvādaśāhaprabhṛtīni satrāṇi
